Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,4,3,0.6,2,10,23.0,0
0.0,0.0,4,1,0.6,0,10,24.0,1
0.0,0.0,4,4,0.6,1,10,25.0,0
0.0,0.0,4,1,0.6,2,10,26.0,0
0.0,0.0,4,4,0.6,2,10,27.0,0
0.0,0.0,4,1,0.6,2,10,28.0,0
0.0,0.0,4,4,0.6,2,10,29.0,0
0.0,0.0,4,1,0.6,0,10,30.0,0
0.0,0.0,4,2,0.6,1,10,31.0,0
0.0,0.0,4,3,0.6,2,10,32.0,0
0.0,0.0,4,3,0.6,0,10,33.0,1
0.0,0.0,4,1,0.6,1,10,34.0,0
0.0,0.0,4,2,0.6,1,10,35.0,0
0.0,0.0,4,1,0.6,0,10,36.0,1
0.0,0.0,4,4,0.6,2,10,37.0,0
0.0,0.0,4,3,0.6,2,10,38.0,0
0.0,0.0,4,1,0.6,1,10,39.0,1
0.0,0.0,4,1,0.6,0,10,40.0,1
0.0,0.0,4,3,0.6,2,10,41.0,0
0.0,0.0,4,4,0.6,2,10,42.0,0
0.0,0.0,4,1,0.6,1,10,43.0,1
0.0,0.0,4,1,0.6,0,10,44.0,1
0.0,0.0,4,1,0.6,2,10,45.0,0
0.0,0.0,4,3,0.8,2,11,1.0,1
0.0,0.0,4,3,0.8,1,11,2.0,1
0.0,0.0,4,1,0.8,0,11,3.0,1
0.0,0.0,4,2,0.8,1,11,4.0,1
0.0,0.0,4,3,0.8,1,11,5.0,0
0.0,0.0,4,2,0.8,2,11,6.0,0
0.0,0.0,4,4,0.8,1,11,7.0,1
0.0,0.0,4,4,0.8,1,11,8.0,1
0.0,0.0,4,4,0.8,0,11,9.0,1
0.0,0.0,4,4,0.8,2,11,10.0,0
0.0,0.0,4,2,0.8,2,11,11.0,0
0.0,0.0,4,2,0.8,0,11,12.0,1
0.0,0.0,4,1,0.8,0,11,13.0,1
0.0,0.0,4,3,0.8,1,11,14.0,0
0.0,0.0,4,4,0.8,2,11,15.0,0
0.0,0.0,4,1,0.8,1,11,16.0,0
0.0,0.0,4,3,0.8,0,11,17.0,1
0.0,0.0,4,1,0.8,0,11,18.0,1
0.0,0.0,4,2,0.8,1,11,19.0,0
0.0,0.0,4,4,0.8,2,11,20.0,0
0.0,0.0,4,3,0.8,1,11,21.0,0
0.0,0.0,4,3,0.8,2,11,22.0,0
0.0,0.0,4,4,0.8,0,11,23.0,1
0.0,0.0,4,4,0.8,2,11,24.0,0
0.0,0.0,4,1,0.8,0,11,25.0,1
0.0,0.0,4,2,0.8,2,11,26.0,1
0.0,0.0,4,4,0.8,0,11,27.0,0
0.0,0.0,4,1,0.8,1,11,28.0,0
0.0,0.0,4,3,0.8,0,11,29.0,1
