Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
1,2,2,0,25,0
2,0,2,0,25,0
3,0,1,1,25,0
4,1,2,1,25,0
5,1,2,1,25,0
6,0,3,1,25,0
7,2,3,0,25,0
8,0,3,1,25,0
9,1,1,1,25,0
10,1,3,0,25,0
11,0,4,1,25,0
12,1,3,1,25,0
13,1,2,0,25,0
14,1,1,0,25,0
15,0,3,1,25,0
16,2,1,0,25,0
17,2,4,0,25,0
18,2,1,0,25,0
19,0,4,1,25,0
20,1,1,1,25,0
21,1,3,0,25,0
22,0,1,0,25,0
23,1,2,1,25,0
24,2,2,0,25,0
25,2,2,0,25,0
26,2,1,0,25,0
27,0,4,1,25,0
28,1,3,0,25,0
29,1,1,1,25,0
30,0,4,1,25,0
31,1,3,0,25,0
32,1,2,1,25,0
33,2,4,0,25,0
34,2,4,0,25,0
35,0,3,1,25,0
36,2,2,1,25,0
37,2,1,0,25,0
38,2,4,0,25,0
39,0,1,1,25,0
40,0,4,1,25,0
41,0,2,1,25,0
42,2,4,0,25,0
43,0,4,1,25,0
44,2,4,0,25,0
45,1,3,1,25,0
1,0,1,1,26,0
2,1,3,0,26,0
3,2,1,0,26,0
4,1,4,1,26,0
5,0,2,1,26,0
6,0,4,1,26,0
7,0,3,1,26,0
8,2,2,0,26,0
9,1,3,0,26,0
10,2,3,0,26,0
11,2,3,0,26,0
12,0,4,1,26,0
13,1,4,1,26,0
14,0,2,1,26,0
15,1,1,1,26,0
16,1,2,1,26,0
17,1,2,0,26,0
18,0,1,1,26,0
19,2,2,0,26,0
20,1,1,1,26,0
21,0,3,1,26,0
22,1,4,1,26,0
23,2,2,0,26,0
24,2,3,1,26,0
25,0,4,1,26,0
